"selection3_selection5","selection3_selection5_url"
"PERDA KAB NUNUKAN NOMOR 17 TAHUN 2015 TENTANG PENYELENGGARAAN PERLINDUNGAN PEREMPUAN DAN ANAK","https://bankdata.kpai.go.id/files/2020/03/PERDA-KAB-NUNUKAN-NOMOR-17-TAHUN-2015-TENTANG-PENYELENGGARAAN-PERLINDUNGAN-PEREMPUAN-DAN-ANAK.pdf"
"PERDA KAB KOTABARU NOMOR 08 TAHUN 2014 TENTANG PERLINDUNGAN PEREMPUAN DAN ANAK","https://bankdata.kpai.go.id/files/2020/03/PERDA-KAB-KOTABARU-NOMOR-08-TAHUN-2014-TENTANG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK.pdf"
"PERDA PROV KALIMANTAN BARAT NOMOR 3 TAHUN 2015 TENTANG PENYELENGGARAAN PERLINDUNGAN PEREMPUAN DARI TINDAK KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-PROV-KALIMANTAN-BARAT-NOMOR-3-TAHUN-2015-TENTANG-PENYELENGGARAAN-PERLINDUNGAN-PEREMPUAN-DARI-TINDAK-KEKERASAN.pdf"
"PERDA PROV JAWA TIMUR NOMOR 16 TAHUN 2012 TENTANG PENYELENGGARAAN PERLINDUNGAN PEREMPUAN DAN ANAK KORBAN KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-PROV-JAWA-TIMUR-NOMOR-16-TAHUN-2012-TENTANG-PENYELENGGARAAN-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-KORBAN-KEKERASAN.pdf"
"PERDA PROV JAMBI NOMOR 2 TAHUN 2015 TENTANG PENCEGAHAN DAN PENANGANAN KORBAN PERDAGANGAN PEREMPUAN DAN ANAK","https://bankdata.kpai.go.id/files/2020/03/PERDA-PROV-JAMBI-NOMOR-2-TAHUN-2015-TENTANG-PENCEGAHAN-DAN-PENANGANAN-KORBAN-PERDAGANGAN-PEREMPUAN-DAN-ANAK.pdf"
"PERDA KOTA SEMARANG NOMOR 5 TAHUN 2016 TENTANG PERLINDUNGAN PEREMPUAN DAN ANAK DARI TINDAK KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-KOTA-SEMARANG-NOMOR-5-TAHUN-2016-TENTANG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-DARI-TINDAK-KEKERASAN.pdf"
"PERDA PROV GORONTALO NOMOR 1 TAHUN 2016 TENTANG PERLINDUNGAN PEREMPUAN DAN ANAK DARI TINDAK KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-PROV-GORONTALO-NOMOR-1-TAHUN-2016-TENTANG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-DARI-TINDAK-KEKERASAN.pdf"
"PERDA PROV BENGKULU NOMOR 21 TAHUN 2006 TENTANG PENCEGAHAN DAN PENANGGULANGAN KEKERASAN TERHADAP PEREMPUAN DAN ANAK","https://bankdata.kpai.go.id/files/2020/03/PERDA-PROV-BENGKULU-NOMOR-21-TAHUN-2006-TENTANG-PENCEGAHAN-DAN-PENANGGULANGAN-KEKERASAN-TERHADAP-PEREMPUAN-DAN-ANAK.pdf"
"PERDA KAB BOGOR NOMOR 5 TAHUN 2015 TENTANG PERLINDUNGAN PEREMPUAN DAN ANAK DARI TINDAKAN KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-KAB-BOGOR-NOMOR-5-TAHUN-2015-TENTANG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-DARI-TINDAKAN-KEKERASAN.pdf"
"PERDA KAB BANGKA SELATAN NOMOR 7 TAHUN 2015 TENTANG PENYELENGGARAAN PERLINDUNGAN PEREMPUAN DAN ANAK KORBAN KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-KAB-BANGKA-SELATAN-NOMOR-7-TAHUN-2015-TENTANG-PENYELENGGARAAN-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-KORBAN-KEKERASAN.pdf"
"PERDA KAB SLEMAN NOMOR 2 TAHUN 2017 TENTANG PERLINDUNGAN PEREMPUAN DAN ANAK KORBAN KEKERASAN","https://bankdata.kpai.go.id/files/2020/03/PERDA-KAB-SLEMAN-NOMOR-2-TAHUN-2017-TENTANG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-KORBAN-KEKERASAN.pdf"
"PERMEN PPPA No 1 Thn 2019 ttg Organisasi dan Tata Kerja Sekretariat Komisi Perlindungan Anak Indonesia","https://bankdata.kpai.go.id/files/2020/03/PERMEN-PPPA-No-1-Thn-2019-ttg-Organisasi-dan-Tata-Kerja-Sekretariat-Komisi-Perlindungan-Anak-Indonesia.pdf"
"U","https://bankdata.kpai.go.id/files/2017/11/PERDA132016PERDA-NO-13-TH-2016-TTG-PERLINDUNGAN-PEREMPUAN-DAN-ANAK-DARI-KEKERASAN-1.jpg"
"Unduh (DOCX, Unknown)","https://bankdata.kpai.go.id/files/2018/03/PERBUP-Nomor-21-Tahun-2015-tentang-P2TP2A-1.docx"
"PERATURAN PRESIDEN REPUBLIK INDONESIA NO 61 TAHUN 2016","https://bankdata.kpai.go.id/files/2017/01/PERATURAN-PRESIDEN-REPUBLIK-INDONESIA-NO-61-TAHUN-2016.pdf"